Date,Open,High,Low,Close,Adj Close,Volume
2010-06-07,3240.000000,3240.000000,3070.000000,3240.000000,2263.686035,12507500
2010-06-08,3280.000000,3320.000000,3270.000000,3280.000000,2291.633789,22137500
2010-06-09,3220.000000,3300.000000,3180.000000,3220.000000,2249.713379,7400000
2010-06-10,3240.000000,3280.000000,3220.000000,3240.000000,2263.686035,3547500
2010-06-11,3220.000000,3300.000000,3220.000000,3220.000000,2249.713379,4187500
2010-06-14,3160.000000,3230.000000,3140.000000,3160.000000,2207.793457,9932500
2010-06-15,3120.000000,3210.000000,3110.000000,3120.000000,2179.846191,8682500
2010-06-16,3170.000000,3210.000000,3160.000000,3170.000000,2214.779785,4862500
2010-06-17,3290.000000,3290.000000,3180.000000,3290.000000,2298.619873,9625000
2010-06-18,3360.000000,3480.000000,3290.000000,3360.000000,2347.526367,9757500
2010-06-21,3390.000000,3620.000000,3270.000000,3390.000000,2368.486816,12675000
2010-06-22,3480.000000,3490.000000,3380.000000,3480.000000,2431.366455,6915000
2010-06-23,3560.000000,3570.000000,3440.000000,3560.000000,2487.260498,5757500
2010-06-24,3560.000000,3660.000000,3540.000000,3560.000000,2487.260498,4707500
2010-06-25,3690.000000,3740.000000,3560.000000,3690.000000,2578.087402,6952500
2010-06-28,3610.000000,3780.000000,3580.000000,3610.000000,2522.193848,8627500
2010-06-29,3500.000000,3610.000000,3450.000000,3500.000000,2486.529541,13605000
2010-06-30,3400.000000,3460.000000,3370.000000,3400.000000,2415.486816,13922500
2010-07-01,3400.000000,3450.000000,3370.000000,3400.000000,2415.486816,9877500
2010-07-02,3400.000000,3440.000000,3380.000000,3400.000000,2415.486816,5627500
2010-07-05,3400.000000,3440.000000,3370.000000,3400.000000,2415.486816,2327500
2010-07-06,3410.000000,3420.000000,3390.000000,3410.000000,2422.590820,3882500
2010-07-07,3410.000000,3430.000000,3370.000000,3410.000000,2422.590820,4677500
2010-07-08,3390.000000,3440.000000,3380.000000,3390.000000,2408.382324,7162500
